timestamp(unix),attitude_roll(radians),attitude_pitch(radians),attitude_yaw(radians),rotation_rate_x(radians/s),rotation_rate_y(radians/s),rotation_rate_z(radians/s),gravity_x(G),gravity_y(G),gravity_z(G),user_acc_x(G),user_acc_y(G),user_acc_z(G),magnetic_field_x(microteslas),magnetic_field_y(microteslas),magnetic_field_z(microteslas),latitude(degree),longitude(degree),altitude(meter),speed(m/s),course(degree),timestamp(unix),User Mark
1514403877.575422,0.350523,1.513385,1.411792,0.159814,0.013943,-0.015736,0.019675,-0.998352,-0.053813,-0.034644,0.015534,-0.040349,-33.369812,-44.957550,35.813873,,,,,,,1
1514403877.585401,0.364501,1.515028,1.398266,0.181357,0.058780,-0.010151,0.019839,-0.998445,-0.051996,-0.030108,0.018007,-0.024725,-33.507446,-45.111542,35.697571,,,,,,,1
1514403877.595411,0.375399,1.516680,1.388335,0.163325,0.116391,0.012537,0.019799,-0.998536,-0.050241,-0.002237,0.014466,0.015680,-33.507446,-45.111542,35.697571,,,,,,,1
1514403877.605390,0.380408,1.518098,1.385122,0.132546,0.202886,0.041748,0.019525,-0.998612,-0.048826,0.037101,0.000397,0.066633,-33.793579,-44.941761,35.912140,,,,,,,1
1514403877.615370,0.383258,1.519483,1.384870,0.132777,0.270266,0.049537,0.019146,-0.998684,-0.047487,0.036502,-0.004353,0.052873,-33.793579,-44.941761,35.912140,,,,,,,1
1514403877.625379,0.386413,1.520826,1.383929,0.128244,0.195435,0.039568,0.018790,-0.998752,-0.046181,0.012689,0.013934,0.003670,-33.771515,-44.705624,35.839294,,,,,,,1
1514403877.635359,0.390302,1.522008,1.380849,0.122342,0.042372,0.032456,0.018517,-0.998810,-0.045010,0.001227,0.014710,-0.010929,-33.771515,-44.705624,35.839294,,,,,,,1
1514403877.645338,0.381983,1.523510,1.388581,0.132330,-0.090463,0.109960,0.017582,-0.998882,-0.043768,0.026302,-0.015186,-0.015039,-33.838440,-44.725216,35.879395,,,,,,,1
1514403877.655348,0.361265,1.525174,1.407442,0.124271,-0.216258,0.146820,0.016081,-0.998959,-0.042560,0.049577,-0.019244,-0.006161,-33.838440,-44.725216,35.879395,,,,,,,1
1514403877.665327,0.327315,1.526824,1.438474,0.107723,-0.315417,0.196619,0.014097,-0.999033,-0.041519,0.066775,-0.005499,0.025375,-33.997406,-44.259747,35.894287,,,,,,,1
